Kanji,Hiragana,Meaning,Level,Example,CorrectCount,WrongCount,IsDifficult
父親,ちちおや,"bố tôi, người bố",N3,父親（ちちおや）は今年（ことし）50歳（さい）になる。,0,0,False
母親,ははおや,"mẹ tôi, người mẹ",N3,母親（ははおや）の料理（りょうり）は、とてもおいしい。,0,0,False
長女,ちょうじょ,"trưởng nữ, con gái cả, con gái đầu lòng",N3,私（わたし）は長女（ちょうじょ）で、妹（いもうと）が一人（ひとり）いる。,0,0,False
長男,ちょうなん,"trưởng nam, con trai cả, con trai đầu lòng",N3,姉（あね）に元気（げんき）な長男（ちょうなん）が生（う）まれた。,0,0,False
次女,じじょ,con gái thứ hai,N3,次女（じじょ）は母（はは）に似（に）ている。,0,0,False
次男,じなん,con trai thứ hai,N3,次男（じなん）はとても背（せ）が高（たか）い。,0,0,False
三女,さんじょ,con gái thứ ba,N3,三（さん）女（じょ）は小学（しょうがく）一（いち）年生（ねんせい）だ。,0,0,False
三男,さんなん,con trai thứ ba,N3,三男（さんなん）は兄弟（きょうだい）の中（なか）で一番（いちばん）元気（げんき）だ。,0,0,False
末っ子,すえっこ,con út,N3,彼（かれ）は5人（にん）兄弟（きょうだい）の末っ子（すえっこ）だ。,0,0,False
一人っ子,ひとりっこ,con một,N3,私（わたし）の友（とも）だちには、一人っ子（ひとりっこ）が多（おお）い。,0,0,False
姉妹,しまい,chị em gái,N3,私（わたし）は3人（にん）姉妹（しまい）の末っ子（すえっこ）だ。,0,0,False
一人娘,ひとりむすめ,"con gái độc nhất, con gái duy nhất",N3,父親（ちちおや）は一人娘（ひとりむすめ）の結婚式（けっこんしき）で泣（な）いた。,0,0,False
親子,おやこ,bố mẹ con cái,N3,最近（さいきん）、親子（おやこ）でよく海外（かいがい）旅行（りょこう）をしている。,0,0,False
夫婦,ふうふ,vợ chồng,N3,砂糖（さとう）さん夫婦（ふうふ）は、毎日（まいにち）散歩（さんぽ）している。,0,0,False
［ご］夫妻,［ご］ふさい,vợ chồng,N3,,0,0,False
親類,しんるい,họ hàng,N3,田中（たなか）さんと私（わたし）は親類（しんるい）だ。,0,0,False
先祖,せんぞ,tổ tiên,N3,うちの先祖（せんぞ）に、有名（ゆうめい）なサムライがいるそうだ。,0,0,False
尊敬＜する＞,そんけ＜する＞,kính trọng,N3,私（わたし）は両親（りょうしん）をとても尊敬（そんけい）している。,0,0,False
おじ,おじ,"chú, cậu, bác trai",N3,父（ちち）とおじは二人（ふたり）兄弟（きょうだい）だ。,0,0,False
おば,おば,"cô, dì, bác gái",N3,私（わたし）は母親（ははおや）よりおばに、いろいろ相談（そうだん）する。,0,0,False
いとこ,いとこ,anh chị em họ,N3,今日（きょう）、いとこが遊（あそ）びに来（く）る。,0,0,False
おい,おい,cháu trai,N3,おいが生（う）まれて、私（わたし）もおばさんになった。,0,0,False
めい,めい,cháu gái,N3,おいもめいも、とてもかわいい。,0,0,False
連れる,つれる,"dẫn đi, dắt đi",N3,子（こ）どもを連（つ）れて、近所（きんじょ）の公園（こうえん）に行（い）く。,0,0,False
似る,にる,giống,N3,Ａ（えい）「お父さんとお母さん、どちらに似（に）ていますか。」,0,0,False
そっくりな,そっくりな,"giống hệt, giống như đúc",N3,妹（いもうと）の顔（かお）は、父親（ちちおや）にそっくりだ。,0,0,False
